Estado;CAMPAIGN;Palabra clave;Tipo de coincidencia;Estado;Puja recomendada (bajo)(EUR);Puja recomendada (mediana)(EUR);Puja recomendada (alto)(EUR);Puja por palabra clave(EUR);PI del top de búsquedas;Impresiones;Clics;Tasa de clics (CTR);Inversión(EUR);Costo por clic (CPC)(EUR);Pedidos;Ventas(EUR);ACOS;KENP leídas;Estimación de regalías de KENP(EUR)
PAUSED;BROAD;victoria alvarez;BROAD;TARGETING_CLAUSE_PAUSED;0.15;0.18;0.31;0.10;;98;0;0;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;trono de cristal saga;BROAD;TARGETING_CLAUSE_PAUSED;0.12;0.14;0.15;0.10;50.0%;1766;1;0.0006;0.09;0.09;0;0.00;;0;0.00
PAUSED;BROAD;trono de cristal;BROAD;TARGETING_CLAUSE_PAUSED;0.13;0.14;0.20;0.10;;7;0;0;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;top libros juveniles;BROAD;TARGETING_CLAUSE_PAUSED;0.14;0.14;0.16;0.10;;5;0;0;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;tolkien aniversario;EXACT;TARGETING_CLAUSE_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;the witcher libros español coleccion;BROAD;TARGETING_CLAUSE_PAUSED;;;;0.10;>95%;30;0;0;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;the witcher libros;BROAD;TARGETING_CLAUSE_PAUSED;0.13;0.14;0.19;0.10;9038461538461530%;1173;0;0;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;sombra y hueso;BROAD;TARGETING_CLAUSE_PAUSED;0.13;0.14;0.22;0.03;50.0%;1343;4;0.003;0.35;0.09;0;0.00;;0;0.00
PAUSED;BROAD;sarah j maas;BROAD;TARGETING_CLAUSE_PAUSED;0.13;0.14;0.20;0.03;<5%;155;0;0;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;sara j mass;BROAD;TARGETING_CLAUSE_PAUSED;;;;0.10;>95%;31;0;0;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;saga libros juveniles;BROAD;TARGETING_CLAUSE_PAUSED;0.13;0.21;0.21;0.10;<5%;25;0;0;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;saga libros adolescentes;BROAD;TARGETING_CLAUSE_PAUSED;;;;0.10;2857142857142850%;23;0;0;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;rodolfo auronplay muneco;EXACT;TARGETING_CLAUSE_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;rick riordan español;BROAD;TARGETING_CLAUSE_PAUSED;;;;0.11;<5%;5;0;0;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;rick riordan;BROAD;TARGETING_CLAUSE_PAUSED;0.13;0.18;0.21;0.03;<5%;136;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;regalos niña 14 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;0.18;0.21;0.28;0.05;1894000975451140%;2247;7;0.0031;7.64;1.09;0;0.00;;0;0.00
ENABLED;BROAD;regalos adolescentes 14 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;0.18;0.20;0.26;0.11;29736644093303200%;4222;17;0.004;12.79;0.75;0;0.00;;0;0.00
PAUSED;BROAD;regalo adolescente chico libro;BROAD;TARGETING_CLAUSE_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;primer verano en piedras verdes;BROAD;TARGETING_CLAUSE_PAUSED;0.14;0.21;0.26;0.11;13333333333333300%;407;2;0.0049;0.18;0.09;0;0.00;;0;0.00
PAUSED;BROAD;piedras verdes;BROAD;TARGETING_CLAUSE_PAUSED;0.16;0.19;0.30;0.03;<5%;88;0;0;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;percy jackson libros español;BROAD;TARGETING_CLAUSE_PAUSED;0.13;0.16;0.19;0.11;>95%;28;0;0;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;percy jackson libros;BROAD;TARGETING_CLAUSE_PAUSED;0.13;0.14;0.20;0.10;5263157894736840%;1535;1;0.0007;0.25;0.25;0;0.00;;0;0.00
PAUSED;BROAD;percy jackson;BROAD;TARGETING_CLAUSE_PAUSED;0.13;0.14;0.23;0.10;>95%;2318;2;0.0009;0.18;0.09;0;0.00;;0;0.00
PAUSED;BROAD;o principe cruel;BROAD;TARGETING_CLAUSE_PAUSED;0.13;0.14;0.23;0.10;>95%;111703;105;0.0009;19.05;0.18;0;0.00;;156;0.64
PAUSED;BROAD;novelas para niños;BROAD;TARGETING_CLAUSE_PAUSED;0.15;0.18;0.24;0.10;8333333333333330%;62;1;0.0161;0.27;0.27;0;0.00;;0;0.00
PAUSED;BROAD;novelas para niñas;BROAD;TARGETING_CLAUSE_PAUSED;0.15;0.18;0.24;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;novelas para chicos;BROAD;TARGETING_CLAUSE_PAUSED;;;;0.10;8571428571428570%;263;0;0;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;novelas para chicas;BROAD;TARGETING_CLAUSE_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicos 25 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicos 24 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicos 23 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicos 22 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicos 21 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicos 20 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicos 19 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicos 18 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicos 17 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicos 16 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicos 15 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicos 14 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
