"Producto que coincide ","Objetivos de productos","Añadido como","Impresiones","Clics","Porcentaje de clics (CTR)","Gasto(EUR)","CPC(EUR)","Pedidos","Ventas(EUR)","ACOS","ROAS","Ratio de conversión"
"libros adolescentes","loose-match","","206","9","4,37",5.79,0.64,"0",0,,"0.0","0.0"
"saga de libros","loose-match","","3","1","33,33",0.34,0.34,"0",0,,"0.0","0.0"
"1408855658","substitutes","","21","1","4,76",0.87,0.87,"0",0,,"0.0","0.0"
"libros para adolescentes de 14 años","loose-match","","5","2","40,00",3.54,1.77,"0",0,,"0.0","0.0"
"8417854517","substitutes","","261","3","1,15",0.75,0.25,"0",0,,"0.0","0.0"
"8492918799","substitutes","","134","1","0,75",0.23,0.23,"0",0,,"0.0","0.0"
"laura gallego libros","loose-match","","19","3","15,79",2.63,0.88,"0",0,,"0.0","0.0"
"libros para 14 años mas vendidos","loose-match","","1","1","100,00",0.34,0.34,"0",0,,"0.0","0.0"
"lectura juvenil","loose-match","","4","1","25,00",1,1,"0",0,,"0.0","0.0"
"novela juvenil 16 años","loose-match","","4","2","50,00",3.46,1.73,"0",0,,"0.0","0.0"
"batalla","loose-match","","21","2","9,52",1.12,0.56,"0",0,,"0.0","0.0"
"libros fantasía juvenil","loose-match","","3","2","66,67",1.02,0.51,"0",0,,"0.0","0.0"
"b09f1cgqw4","substitutes","","3","1","33,33",0.73,0.73,"0",0,,"0.0","0.0"
"novela","loose-match","","2","1","50,00",1.01,1.01,"0",0,,"0.0","0.0"
"libros para 12 años mas vendidos","loose-match","","2","1","50,00",0.7,0.7,"0",0,,"0.0","0.0"
"libro adolescentes 12 años","loose-match","","8","4","50,00",5.03,1.26,"1",15.99,"31.457160725453402","3.178926441351889","25.0"
"adolescentes chica","loose-match","","1","1","100,00",0.36,0.36,"0",0,,"0.0","0.0"
"b0b7bmwj4d","substitutes","","12","1","8,33",0.79,0.79,"0",0,,"0.0","0.0"
"libro juvenil 14 años","loose-match","","3","1","33,33",0.52,0.52,"0",0,,"0.0","0.0"
"libros adolescentes 14 años mas vendidos","loose-match","","1","1","100,00",1.38,1.38,"0",0,,"0.0","0.0"
"8418037423","substitutes","","30","1","3,33",0.34,0.34,"0",0,,"0.0","0.0"
