"Producto que coincide ","Objetivos de productos","Añadido como","Impresiones","Clics","Porcentaje de clics (CTR)","Gasto(EUR)","CPC(EUR)","Pedidos","Ventas(EUR)","ACOS","ROAS","Ratio de conversión"
"libros juveniles","libros juveniles","Palabra clave: exacta, amplia","4717","20","0,42",12.51,0.63,"0",0,,"0.0","0.0"
"laura gallego","laura gallego","Palabra clave: exacta, amplia, de frase","13","2","15,38",0.28,0.14,"0",0,,"0.0","0.0"
"libros de misterio y suspense para adolescentes","libros para adolescentes","","8","1","12,50",1.78,1.78,"0",0,,"0.0","0.0"
"libros mas vendidos niños 12 años","libros niños 12 años mas vendidos","Palabra clave: amplia","2","1","50,00",1.86,1.86,"0",0,,"0.0","0.0"
"libros para adolescentes","libro adolescentes","Palabra clave: amplia, de frase","75","4","5,33",3.01,0.75,"0",0,,"0.0","0.0"
"libros 2022 juveniles","libro juveniles","","2","1","50,00",0.68,0.68,"0",0,,"0.0","0.0"
"libros cristianos para adolescentes","libros para adolescentes","","1","1","100,00",5.07,5.07,"0",0,,"0.0","0.0"
"libro para adolescentes","libro adolescentes","","3","1","33,33",1.12,1.12,"1",15.99,"7.004377736085053","14.276785714285714","100.0"
"libro 13 años","libros para 13 años","Palabra clave: amplia","2","1","50,00",0.84,0.84,"0",0,,"0.0","0.0"
"libro 14 años","libros para 14 años","Palabra clave: amplia","1","1","100,00",0.72,0.72,"0",0,,"0.0","0.0"
"novela juvenil fantastica","novelas fantasticas","","14","1","7,14",0.35,0.35,"0",0,,"0.0","0.0"
"libros juveniles 14 años","libros juveniles 14 años","Palabra clave: amplia, exacta","199","2","1,01",2.18,1.09,"0",0,,"0.0","0.0"
"libros 12 años mas vendidos niños","libros niños 12 años mas vendidos","Palabra clave: amplia","10","1","10,00",1.04,1.04,"0",0,,"0.0","0.0"
"libro juvenil","libros juveniles","","30","1","3,33",0.62,0.62,"0",0,,"0.0","0.0"
"libros adolescentes","libro adolescentes","Palabra clave: exacta","79","2","2,53",1.99,0.99,"0",0,,"0.0","0.0"
"libros fantasia y ficción juveniles","libro de fantasia juvenil","","1","1","100,00",0.59,0.59,"0",0,,"0.0","0.0"
"libros de lectura para adolescentes niñas","libro lectura para adolescentes","","3","1","33,33",0.42,0.42,"0",0,,"0.0","0.0"
"libros niños 12 años mas vendidos","libros niños 12 años mas vendidos","Palabra clave: amplia","81","3","3,70",1.82,0.61,"0",0,,"0.0","0.0"
"literatura juvenil","literatura juvenil","Palabra clave: amplia","16","1","6,25",0.4,0.4,"0",0,,"0.0","0.0"
