"Producto que coincide ","Objetivos de productos","Añadido como","Impresiones","Clics","Porcentaje de clics (CTR)","Gasto(EUR)","CPC(EUR)","Pedidos","Ventas(EUR)","ACOS","ROAS","Ratio de conversión"
"libros kindle juveniles","loose-match","","12","1","8,33",0.79,0.79,"0",0,,"0.0","0.0"
"una corte de espinas y rosas","loose-match","","55","1","1,82",0.3,0.3,"0",0,,"0.0","0.0"
"libros fantasía juvenil","loose-match","","1","1","100,00",0.85,0.85,"0",0,,"0.0","0.0"
"libros baratos","loose-match","","14","2","14,29",1.42,0.71,"0",0,,"0.0","0.0"
"b07y6mhnts","complements","","26","1","3,85",0.73,0.73,"0",0,,"0.0","0.0"
"b0bhdxz4nq","complements","","9","1","11,11",0.22,0.22,"0",0,,"0.0","0.0"
"la decision de la espada 2","loose-match","Palabra clave neg.: exacta neg.","4","2","50,00",0.68,0.34,"0",0,,"0.0","0.0"
"librojuegos","loose-match","","2","1","50,00",1.2,1.2,"0",0,,"0.0","0.0"
"kindle gratis","loose-match","","2","1","50,00",0.52,0.52,"0",0,,"0.0","0.0"
"libros juveniles 15 años","loose-match","","3","1","33,33",0.84,0.84,"0",0,,"0.0","0.0"
"b01aiom3m0","complements","","16","1","6,25",1.09,1.09,"0",0,,"0.0","0.0"
"cazadores 2","loose-match","","3","1","33,33",0.13,0.13,"0",0,,"0.0","0.0"
"comic juego de tronos espanol","loose-match","","2","1","50,00",0.56,0.56,"0",0,,"0.0","0.0"
"literatura juvenil","loose-match","","6","1","16,67",0.35,0.35,"0",0,,"0.0","0.0"
"trilogia","loose-match","","10","1","10,00",0.52,0.52,"0",0,,"0.0","0.0"
"libro de rol","loose-match","","2","1","50,00",0.39,0.39,"0",0,,"0.0","0.0"
"b07xbvflkr","complements","","154","2","1,30",2.52,1.26,"0",0,,"0.0","0.0"
"libros fantasia juvenil","loose-match","","16","2","12,50",0.97,0.48,"0",0,,"0.0","0.0"
"libros para niñas de 14 años","loose-match","","1","1","100,00",0.51,0.51,"0",0,,"0.0","0.0"
"b088gpj376","complements","","6","1","16,67",0.43,0.43,"0",0,,"0.0","0.0"
"libros+adolescentes+13+años","loose-match","","1","1","100,00",0.59,0.59,"0",0,,"0.0","0.0"
"libros kindle","loose-match","","6","1","16,67",1.06,1.06,"0",0,,"0.0","0.0"
"libro rick riordan","loose-match","","2","1","50,00",0.56,0.56,"0",0,,"0.0","0.0"
"una corte de rosas y espinas","loose-match","Palabra clave neg.: exacta neg.","1176","4","0,34",3,0.75,"0",0,,"0.0","0.0"
"una corte de rosas y espinas 1","loose-match","","8","1","12,50",0.5,0.5,"0",0,,"0.0","0.0"
"harry potter libros","loose-match","","953","4","0,42",0.62,0.15,"0",0,,"0.0","0.0"
"libros juveniles 12 años","loose-match","","18","3","16,67",1.75,0.58,"0",0,,"0.0","0.0"
"esmeralda","loose-match","","3","1","33,33",0.96,0.96,"0",0,,"0.0","0.0"
"estuche de libros","loose-match","","64","1","1,56",0.31,0.31,"0",0,,"0.0","0.0"
"ebook kindle ofertas","loose-match","Palabra clave neg.: exacta neg.","456","6","1,32",4.8,0.8,"0",0,,"0.0","0.0"
"b07sb2z6h8","complements","","6","1","16,67",1.75,1.75,"0",0,,"0.0","0.0"
"libros juveniles en español","loose-match","","2","1","50,00",1.54,1.54,"0",0,,"0.0","0.0"
"acotar libros espanol","loose-match","","48","1","2,08",0.02,0.02,"0",0,,"0.0","0.0"
"b08csj9fgh","complements","","9","1","11,11",1.23,1.23,"0",0,,"0.0","0.0"
