"Producto que coincide ","Objetivos de productos","Añadido como","Impresiones","Clics","Porcentaje de clics (CTR)","Gasto(EUR)","CPC(EUR)","Pedidos","Ventas(EUR)","ACOS","ROAS","Ratio de conversión"
"libros 13 años mas vendidos niños","libro 13 años","Palabra clave: de frase","1","1","100,00",6.38,6.38,"1",15.99,"39.89993746091307","2.5062695924764893","100.0"
"libros adolescentes 13 años","libro adolescentes 13 años","Palabra clave: de frase","22","2","9,09",1.73,0.86,"0",0,,"0.0","0.0"
"libros juveniles 12 años","libro juvenil 12 años","Palabra clave: de frase","84","4","4,76",11.8,2.95,"0",0,,"0.0","0.0"
"libros para adolescentes","libro adolescente","","771","7","0,91",4.08,0.58,"0",0,,"0.0","0.0"
"libros fantasía juvenil","libro fantasia juvenil","","7","2","28,57",2.41,1.21,"0",0,,"0.0","0.0"
"libros para adolescentes 15 años","libros adolescentes 15 años","","13","2","15,38",10.93,5.46,"0",0,,"0.0","0.0"
"libros fantasia juvenil","libro fantasia juvenil","","104","6","5,77",4.09,0.68,"1",15.99,"25.57848655409631","3.9095354523227384","16.666666666666664"
"libro adolescentes mas vendidos","libro adolescente","","467","2","0,43",4.97,2.48,"0",0,,"0.0","0.0"
"libros+adolescentes fantastica","libro adolescente","","2","1","50,00",0.68,0.68,"0",0,,"0.0","0.0"
"novelas juveniles romanticas","novela juvenil","","23","1","4,35",0.26,0.26,"0",0,,"0.0","0.0"
"libro 13 años","libro 13 años","Palabra clave: de frase","4","1","25,00",0.63,0.63,"0",0,,"0.0","0.0"
"libros para niños de 14 años","libros para niños de 14 años","Palabra clave: de frase","22","3","13,64",2.36,0.79,"0",0,,"0.0","0.0"
"libros adolescentes","libro adolescente","","303","10","3,30",20.7,2.07,"2",31.98,"64.7279549718574","1.5449275362318842","20.0"
"libros para adolescentes de 17","libro adolescente","","1","1","100,00",0.63,0.63,"0",0,,"0.0","0.0"
"libros adolescentes mas vendidos","libro adolescentes","","19","1","5,26",0.51,0.51,"0",0,,"0.0","0.0"
"los mejores libros para adolescentes","libro adolescente","","52","1","1,92",3.56,3.56,"0",0,,"0.0","0.0"
"libros 14 años mas vendidos","libro 14 años","Palabra clave: de frase","2","1","50,00",6.58,6.58,"0",0,,"0.0","0.0"
"libros adolescentes 15 años","libros adolescentes 15 años","Palabra clave: de frase","7","1","14,29",0.64,0.64,"0",0,,"0.0","0.0"
"libros para adolescentes de 14 años","libro adolescentes 14 años","","4","2","50,00",1.95,0.97,"1",15.99,"12.195121951219514","8.2","50.0"
"libros para adolescentes 16 años","libros para adolescentes 16 años","Palabra clave: de frase","6","1","16,67",0.48,0.48,"0",0,,"0.0","0.0"
"libro para chicos de 16 años","libros para chicas de 16 años","","3","1","33,33",5.53,5.53,"0",0,,"0.0","0.0"
"libros adolescentes 18 años autoayuda","libro adolescentes","","1","1","100,00",1.17,1.17,"0",0,,"0.0","0.0"
"libro adolescentes 12 años","libro adolescente","","1","1","100,00",0.75,0.75,"0",0,,"0.0","0.0"
"libro adolescentes","libro adolescente","","59","2","3,39",1.52,0.76,"0",0,,"0.0","0.0"
"libros para adolescentes de 12 años","libro adolescente","","10","3","30,00",9.63,3.21,"0",0,,"0.0","0.0"
"libros niños 14 años","libros para niños de 14 años","","7","1","14,29",0.77,0.77,"0",0,,"0.0","0.0"
"novelas juveniles de suspenses","novela juvenil","","1","1","100,00",0.58,0.58,"0",0,,"0.0","0.0"
"libros adolescentes 17 años","libro adolescente","","1","1","100,00",0.61,0.61,"0",0,,"0.0","0.0"
"novela juvenil","novela juvenil","Palabra clave: de frase","27","2","7,41",2.1,1.05,"0",0,,"0.0","0.0"
"libros adolescentes","libro para adolescentes","","73","2","2,74",1.91,0.95,"0",0,,"0.0","0.0"
"libros adolescentes","libro adolescentes","","42","2","4,76",1.86,0.93,"0",0,,"0.0","0.0"
"libro adolescentes 16 años","libros para adolescentes 16 años","","3","1","33,33",0.62,0.62,"0",0,,"0.0","0.0"
"libros niños 14 años mas vendidos guerra mundial","libros para niños de 14 años","","1","1","100,00",0.58,0.58,"0",0,,"0.0","0.0"
"laura gallego libros trilogia","laura gallego libros","","2","1","50,00",1.3,1.3,"0",0,,"0.0","0.0"
"libros adolescentes humor","libro adolescente","","93","1","1,08",0.77,0.77,"0",0,,"0.0","0.0"
"libros de fantasia juvenil","libro fantasia juvenil","","71","1","1,41",0.73,0.73,"0",0,,"0.0","0.0"
"rick riordan","rick riordan","Palabra clave: de frase","186","8","4,30",10.85,1.36,"1",15.99,"67.85490931832395","1.4737327188940095","12.5"
"libros para adolescente","libro adolescente","","92","1","1,09",0.65,0.65,"0",0,,"0.0","0.0"
"literatura juvenil 14 años","literatura juvenil 14 años","Palabra clave: de frase","3","1","33,33",0.42,0.42,"0",0,,"0.0","0.0"
"libros adolescentes 16 años","libros para adolescentes 16 años","","1","1","100,00",2.02,2.02,"0",0,,"0.0","0.0"
"libros de 13 años","libro 13 años","","2","1","50,00",3.34,3.34,"0",0,,"0.0","0.0"
"libros para chicas adolescentes de 15 años","libros para chicos adolescentes","","5","2","40,00",1.57,0.79,"0",0,,"0.0","0.0"
"libro para adolescentes 14 años","libro adolescentes 14 años","","3","1","33,33",1.03,1.03,"0",0,,"0.0","0.0"
"libros para chicas de 13 años","libro para chica de 13 años","","3","1","33,33",0.33,0.33,"0",0,,"0.0","0.0"
"laura gallego libros","laura gallego libros","Palabra clave: de frase","709","9","1,27",9.48,1.05,"0",0,,"0.0","0.0"
"libros para adolescentes de 13 años","libro adolescentes 13 años","Palabra clave: de frase","2","1","50,00",1.43,1.43,"0",0,,"0.0","0.0"
"la sombra de la serpiente rick riordan","rick riordan","","2","1","50,00",1.06,1.06,"0",0,,"0.0","0.0"
"libros adolescentes mas vendidos","libro adolescente","","175","8","4,57",8.4,1.05,"0",0,,"0.0","0.0"
"libros de fantasía juvenil","libro fantasia juvenil","","3","2","66,67",1.13,0.56,"0",0,,"0.0","0.0"
"libros para adolescentes de 15 años","libros adolescentes 15 años","","9","3","33,33",2.41,0.8,"0",0,,"0.0","0.0"
"libros juveniles 13 años","libro juvenil 13 años","","6","1","16,67",0.54,0.54,"0",0,,"0.0","0.0"
"libros adolescentes 14 años","libro adolescentes 14 años","","7","3","42,86",2.96,0.99,"0",0,,"0.0","0.0"
"libros adolescentes en catalán","libro adolescente","","1","1","100,00",3.09,3.09,"0",0,,"0.0","0.0"
"libros juveniles","libro juvenil","","1078","4","0,37",2.78,0.69,"0",0,,"0.0","0.0"
"libros para niñas de 14 años","libros para niños de 14 años","","4","1","25,00",3.07,3.07,"0",0,,"0.0","0.0"
"libro adolescentes 12 años niño","libro adolescente","","3","1","33,33",0.76,0.76,"0",0,,"0.0","0.0"
"libros 13 años","libro 13 años","","5","1","20,00",0.83,0.83,"0",0,,"0.0","0.0"
"libro de fantasia juvenil","libro fantasia juvenil","","1","1","100,00",0.23,0.23,"0",0,,"0.0","0.0"
