Estado;CAMPAIGN;Palabra clave;Tipo de coincidencia;Estado;Puja recomendada (bajo)(EUR);Puja recomendada (mediana)(EUR);Puja recomendada (alto)(EUR);Puja por palabra clave(EUR);PI del top de búsquedas;Impresiones;Clics;Tasa de clics (CTR);Inversión(EUR);Costo por clic (CPC)(EUR);Pedidos;Ventas(EUR);ACOS;KENP leídas;Estimación de regalías de KENP(EUR)
ENABLED;Kindle;libros juvenil;EXACT;CAMPAIGN_PAUSED;0.17;0.21;0.31;0.08;;27125;67;0.0025;17.22;0.26;3;8.64;19.931;295;1.26
PAUSED;Kindle;libros kindle;PHRASE;CAMPAIGN_PAUSED;0.18;0.24;0.35;0.08;;7480;57;0.0076;25.04;0.44;3;8.64;28.981;31;0.14
ENABLED;Kindle;libros 12 años;EXACT;CAMPAIGN_PAUSED;0.15;0.20;0.31;0.08;;1213;31;0.0256;14.05;0.45;2;5.76;24.392;0;0.00
ENABLED;Kindle;libros 10-12 años;BROAD;CAMPAIGN_PAUSED;0.18;0.24;0.32;0.08;;33;2;0.0606;0.71;0.36;1;15.99;0.0444;0;0.00
ENABLED;Kindle;libros 11 años aventuras;BROAD;CAMPAIGN_PAUSED;;;;0.08;;13;3;0.2308;0.73;0.24;1;2.88;0.2535;0;0.00
ENABLED;Kindle;libros 11 años niño;PHRASE;CAMPAIGN_PAUSED;;;;0.08;;1;1;1;0.67;0.67;1;2.88;0.2326;0;0.00
PAUSED;Kindle;libros 16 años;PHRASE;CAMPAIGN_PAUSED;;;;0.08;;4;1;0.25;0.23;0.23;1;2.88;0.0799;0;0.00
ENABLED;Kindle;libros de 12 años;EXACT;CAMPAIGN_PAUSED;0.15;0.20;0.31;0.08;;508;4;0.0079;1.74;0.44;1;15.19;0.1145;0;0.00
ENABLED;Kindle;libros de fantasia;EXACT;CAMPAIGN_PAUSED;0.16;0.19;0.27;0.08;;662;2;0.003;0.44;0.22;1;2.88;0.1528;0;0.00
ENABLED;Kindle;libros de fantasia juvenil;BROAD;CAMPAIGN_PAUSED;0.17;0.20;0.30;0.08;;1143;8;0.007;2.44;0.31;1;15.19;0.1606;0;0.00
