Estado;CAMPAIGN;Palabra clave;Tipo de coincidencia;Estado;Puja recomendada (bajo)(EUR);Puja recomendada (mediana)(EUR);Puja recomendada (alto)(EUR);Puja por palabra clave(EUR);PI del top de búsquedas;Impresiones;Clics;Tasa de clics (CTR);Inversión(EUR);Costo por clic (CPC)(EUR);Pedidos;Ventas(EUR);ACOS;KENP leídas;Estimación de regalías de KENP(EUR)
ENABLED;PHASE;victoria alvarez;PHRASE;CAMPAIGN_PAUSED;0.14;0.17;0.29;0.10;>95%;1833;5;0.0027;0.45;0.09;0;0.00;;0;0.00
ENABLED;PHASE;trono de cristal saga;PHRASE;CAMPAIGN_PAUSED;0.12;0.13;0.15;0.10;87.5%;11061;13;0.0012;1.63;0.13;0;0.00;;0;0.00
ENABLED;PHASE;trono de cristal saga;EXACT;CAMPAIGN_PAUSED;0.12;0.13;0.15;0.10;>95%;13410;10;0.0007;1.66;0.17;0;0.00;;0;0.00
ENABLED;PHASE;trono de cristal saga;BROAD;CAMPAIGN_PAUSED;0.12;0.14;0.15;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;trono de cristal;PHRASE;CAMPAIGN_PAUSED;0.13;0.14;0.20;0.10;>95%;5947;6;0.001;0.80;0.13;0;0.00;;0;0.00
ENABLED;PHASE;trono de cristal;EXACT;CAMPAIGN_PAUSED;0.13;0.13;0.21;0.05;;91182;74;0.0008;14.50;0.20;1;15.99;0.9068;0;0.00
ENABLED;PHASE;trono de cristal;BROAD;CAMPAIGN_PAUSED;0.13;0.14;0.20;0.10;;8;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;tolkien aniversario;PHRASE;CAMPAIGN_PAUSED;;;;0.10;>95%;1;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;the witcher libros español coleccion;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;the witcher libros;PHRASE;CAMPAIGN_PAUSED;0.13;0.14;0.21;0.10;8846153846153840%;6164;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;sarah j maas;PHRASE;CAMPAIGN_PAUSED;0.13;0.14;0.18;0.08;>95%;7602;8;0.0011;3.46;0.43;0;0.00;;0;0.00
ENABLED;PHASE;sara j mass;PHRASE;CAMPAIGN_PAUSED;;;;0.10;>95%;283;3;0.0106;0.09;0.03;0;0.00;;0;0.00
ENABLED;PHASE;saga trono de cristal;EXACT;CAMPAIGN_PAUSED;0.12;0.14;0.15;0.10;>95%;11709;7;0.0006;0.90;0.13;1;2.88;0.3125;0;0.00
ENABLED;PHASE;saga trono de cristal;PHRASE;CAMPAIGN_PAUSED;0.12;0.14;0.15;0.10;>95%;168;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;saga trono de cristal;BROAD;CAMPAIGN_PAUSED;0.12;0.14;0.15;0.10;;13;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;saga libros juveniles;PHRASE;CAMPAIGN_PAUSED;0.13;0.21;0.21;0.10;75.0%;205;2;0.0098;0.96;0.48;0;0.00;;0;0.00
ENABLED;PHASE;saga libros adolescentes;PHRASE;CAMPAIGN_PAUSED;;;;0.10;40909090909090900%;55;1;0.0182;0.02;0.02;0;0.00;;0;0.00
ENABLED;PHASE;rick riordan español;PHRASE;CAMPAIGN_PAUSED;;;;0.10;923076923076923%;108;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;rick riordan;PHRASE;CAMPAIGN_PAUSED;0.13;0.15;0.19;0.10;826086956521739%;3415;12;0.0035;1.89;0.16;0;0.00;;162;0.67
ENABLED;PHASE;piedras verdes;PHRASE;CAMPAIGN_PAUSED;0.15;0.18;0.23;0.08;31428571428571400%;563;4;0.0071;0.24;0.06;0;0.00;;0;0.00
ENABLED;PHASE;percy jackson libros kindle;EXACT;CAMPAIGN_PAUSED;;;;0.10;30.0%;39;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;percy jackson libros kindle;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;percy jackson libros kindle;BROAD;CAMPAIGN_PAUSED;;;;0.10;;8;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;percy jackson libros;PHRASE;CAMPAIGN_PAUSED;0.13;0.14;0.22;0.10;9130434782608690%;6910;15;0.0022;3.07;0.20;1;2.88;1.066;0;0.00
ENABLED;PHASE;percy jackson libros;EXACT;CAMPAIGN_PAUSED;0.13;0.14;0.27;0.10;7352941176470580%;13153;21;0.0016;3.43;0.16;0;0.00;;0;0.00
ENABLED;PHASE;percy jackson libros;BROAD;CAMPAIGN_PAUSED;0.13;0.14;0.20;0.10;>95%;672;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;percy jackson;PHRASE;CAMPAIGN_PAUSED;0.13;0.14;0.22;0.10;7575757575757570%;12765;15;0.0012;1.96;0.13;0;0.00;;0;0.00
PAUSED;PHASE;o principe cruel;PHRASE;CAMPAIGN_PAUSED;0.12;0.13;0.20;0.10;;299;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para niños;PHRASE;CAMPAIGN_PAUSED;;;;0.10;87.5%;28;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para niñas;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para chicos;PHRASE;CAMPAIGN_PAUSED;;;;0.10;>95%;87;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para chicas;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicos 25 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicos 24 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicos 23 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicos 22 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicos 21 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicos 20 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicos 19 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicos 18 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicos 17 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicos 16 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicos 15 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicos 14 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicos 13 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicos 12 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicos 11 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicas 25 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicas 24 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicas 23 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicas 22 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicas 21 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicas 20 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicas 19 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicas 18 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicas 17 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicas 16 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicas 15 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicas 14 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicas 13 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicas 12 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes chicas 11 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes 19 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes 18 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;2;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes 17 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes 16 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;>95%;2;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes 15 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas para adolescentes 14 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;<5%;3;0;0;0.00;0.00;0;0.00;;0;0.00
