"Producto que coincide ","Segmentaciones por producto","Agregado como","Impresiones","Clics","Tasa de clics (CTR)","Inversión(USD)","Costo por clic (CPC)(USD)","Pedidos","Ventas(USD)","ACOS","ROAS","Tasa de conversión"
"comic books for teen boys","books for teen boys","","4","1","25.00",1.82,1.82,"0",0,,"0.0","0.0"
"teen fiction books","books for teens","","39","1","2.56",0.89,0.89,"0",0,,"0.0","0.0"
"short \ books for teens","books for teens","","3","1","33.33",1.27,1.27,"0",0,,"0.0","0.0"
"young adult books fantasy","young adult books","","15","1","6.67",1.86,1.86,"0",0,,"0.0","0.0"
"adventure books for teen boys","book for teen boys","","6","1","16.67",1.83,1.83,"0",0,,"0.0","0.0"
"books for 13+ year old boys","books 13 year old boys","","5","3","60.00",4.27,1.42,"0",0,,"0.0","0.0"
"historical+fiction+books+for+teens scotland","books for teens","","1","1","100.00",1.27,1.27,"0",0,,"0.0","0.0"
"top books for teen boys","book for teen boys","Palabra clave: exacto","25","3","12.00",6.33,2.11,"1",15.99,"39.587242026266416","2.5260663507109005","33.33333333333333"
"books for teen boys 14-16","book for teen boys","Palabra clave: exacto","45","3","6.67",7.57,2.52,"2",31.98,"23.671044402751722","4.224570673712021","66.66666666666666"
"books for teenage boys","books for teenage boys","Palabra clave: general","27","5","18.52",6,1.2,"1",15.99,"37.5234521575985","2.665","20.0"
"fantasy book adult","fantasy books for adults","","1","1","100.00",1.19,1.19,"0",0,,"0.0","0.0"
"pre teen books","books for teens","","1","1","100.00",1.27,1.27,"0",0,,"0.0","0.0"
"books for 12 year old boys","books for 12 year old boys","Palabra clave: exacto, frase, general","108","8","7.41",8.27,1.03,"1",31.98,"25.859912445278297","3.866989117291415","12.5"
"book for 13 year old boys","books 13 year old boys","","1","1","100.00",1.54,1.54,"0",0,,"0.0","0.0"
"teen hardback book","books for teens","","2","1","50.00",1.18,1.18,"0",0,,"0.0","0.0"
"books for teens 12-16 girls","books for teens","Palabra clave: exacto","65","2","3.08",1.23,0.61,"1",15.99,"7.6923076923076925","13.0","50.0"
"best boxed series books for teen boys","book for teen boys","","1","1","100.00",1.92,1.92,"0",0,,"0.0","0.0"
"books for young adults fantasy","young adult fantasy","","1","1","100.00",0.59,0.59,"0",0,,"0.0","0.0"
"historical fiction books for teens knight","books for teens","","1","1","100.00",1.27,1.27,"0",0,,"0.0","0.0"
